iter	Passed	Remaining
416	2944	18238
417	2951	18228
418	2957	18220
419	2965	18217
420	2972	18211
421	2979	18202
422	2986	18195
423	2993	18187
424	3000	18180
425	3007	18174
426	3014	18166
427	3021	18158
428	3028	18149
429	3035	18141
430	3043	18138
431	3050	18133
432	3057	18128
433	3065	18123
434	3072	18115
435	3079	18110
436	3086	18101
437	3093	18095
438	3100	18090
439	3107	18082
440	3115	18078
441	3123	18075
442	3130	18068
443	3137	18063
444	3145	18060
445	3152	18052
446	3159	18045
447	3166	18036
448	3173	18031
449	3180	18024
450	3188	18018
451	3195	18014
452	3202	18007
453	3210	18002
454	3217	17997
455	3224	17989
456	3232	17985
457	3239	17980
458	3246	17970
459	3253	17962
460	3260	17955
461	3267	17948
462	3274	17940
463	3281	17935
464	3288	17927
465	3295	17918
466	3301	17908
467	3308	17900
468	3315	17894
469	3323	17889
470	3330	17882
471	3337	17877
472	3344	17869
473	3351	17859
474	3357	17850
475	3364	17842
476	3371	17835
477	3379	17829
478	3385	17820
479	3392	17812
480	3400	17806
481	3407	17799
482	3414	17795
483	3422	17789
484	3429	17782
485	3435	17772
486	3442	17761
487	3448	17751
488	3455	17742
489	3462	17735
490	3469	17730
491	3477	17724
492	3483	17715
493	3490	17707
494	3497	17700
495	3504	17690
496	3511	17683
497	3518	17677
498	3525	17671
499	3533	17667
500	3540	17660
501	3548	17656
502	3554	17646
503	3562	17640
504	3569	17635
505	3576	17627
506	3583	17620
507	3590	17614
508	3597	17607
509	3604	17599
510	3611	17591
511	3619	17588
512	3627	17583
513	3633	17573
514	3639	17562
515	3646	17552
516	3653	17547
517	3659	17536
518	3665	17524
519	3672	17517
520	3679	17509
521	3686	17500
522	3694	17495
523	3701	17489
524	3707	17480
525	3715	17473
526	3722	17467
527	3729	17460
528	3736	17452
529	3742	17443
530	3749	17436
531	3757	17431
532	3764	17426
533	3772	17421
534	3779	17415
535	3787	17412
536	3794	17404
537	3802	17398
538	3809	17393
539	3816	17385
540	3823	17379
541	3830	17371
542	3837	17364
543	3844	17356
544	3851	17350
545	3858	17343
546	3866	17339
547	3873	17331
548	3880	17325
549	3888	17320
550	3895	17313
551	3902	17308
552	3910	17303
553	3917	17297
554	3924	17289
555	3931	17283
556	3939	17277
557	3946	17269
558	3953	17265
559	3961	17259
560	3968	17253
561	3975	17247
562	3983	17241
563	3990	17233
564	3997	17227
565	4004	17220
566	4011	17215
567	4019	17208
568	4025	17200
569	4033	17195
570	4040	17189
571	4048	17184
572	4056	17179
573	4063	17174
574	4070	17165
575	4076	17157
576	4083	17147
577	4090	17140
578	4097	17133
579	4106	17132
580	4113	17126
581	4121	17121
582	4128	17115
583	4136	17112
584	4143	17105
585	4150	17098
586	4158	17092
587	4165	17086
588	4172	17079
589	4179	17072
590	4187	17067
591	4193	17057
592	4200	17050
593	4208	17045
594	4215	17037
595	4222	17032
596	4230	17026
597	4236	17018
598	4243	17008
599	4250	17002
600	4258	16996
601	4264	16987
602	4271	16979
603	4278	16973
604	4286	16967
605	4292	16957
606	4299	16950
607	4306	16944
608	4314	16938
609	4321	16932
610	4329	16926
611	4335	16918
612	4343	16913
613	4351	16909
614	4358	16902
615	4365	16896
616	4373	16892
617	4380	16885
618	4387	16876
619	4395	16871
620	4402	16865
621	4410	16860
622	4417	16854
623	4424	16847
624	4432	16843
625	4439	16834
626	4445	16825
627	4453	16820
628	4460	16814
629	4467	16807
630	4475	16801
631	4482	16796
632	4489	16787
633	4496	16781
634	4504	16777
635	4511	16769
636	4517	16758
637	4525	16752
638	4532	16746
639	4539	16740
640	4547	16733
641	4554	16727
642	4561	16721
643	4568	16712
644	4575	16705
645	4582	16698
646	4589	16692
647	4597	16686
648	4604	16680
649	4612	16674
650	4620	16671
651	4627	16665
652	4635	16659
653	4641	16651
