iter	MultiClass
0	1.009440335
1	0.9324985599
2	0.8652095754
3	0.8057397522
4	0.7527929786
5	0.7053208318
6	0.6624877849
7	0.6236584061
8	0.5883603224
9	0.5560216189
10	0.5264222743
11	0.4990902234
12	0.4739318185
13	0.4506766736
14	0.4291240333
15	0.4091527584
16	0.3906296131
17	0.3732943283
18	0.3571195882
19	0.3420443833
20	0.3280437731
21	0.3149122958
22	0.3026309932
23	0.2910737115
24	0.2803410261
25	0.2702735294
26	0.2607444518
27	0.251896354
28	0.2435004173
29	0.2355910174
30	0.2282592727
31	0.2213572998
32	0.2146991012
33	0.2085544691
34	0.202720207
35	0.1972836506
36	0.1920333338
37	0.1871770058
38	0.1825230495
39	0.1781086337
40	0.1739401364
41	0.1700310396
42	0.1664428038
43	0.1629327432
44	0.1597541113
45	0.1565824294
46	0.1535873649
47	0.1508024249
48	0.1481571866
49	0.1455944453
50	0.1431557465
51	0.141029551
52	0.13874342
53	0.136804322
54	0.1349393415
55	0.1329307665
56	0.1311761815
57	0.1295060511
58	0.1278900462
59	0.1264810317
60	0.1250457791
61	0.123672064
62	0.1225294328
63	0.1213486432
64	0.1201936628
65	0.1190898389
66	0.1181189868
67	0.116909309
68	0.1160003241
69	0.1150037947
70	0.1141878087
71	0.1133540631
72	0.1126674199
73	0.1120120843
74	0.1112275488
75	0.1104388125
76	0.1095874172
77	0.1090227051
78	0.1083520731
79	0.1077348849
80	0.1072379344
81	0.1066664483
82	0.106155554
83	0.1056403819
84	0.1051736392
85	0.1047577781
86	0.1042185563
87	0.1037611278
88	0.1032874241
89	0.1029147689
90	0.1024575713
91	0.1020749421
92	0.1017593157
93	0.1013350091
94	0.1010174912
95	0.1007003252
96	0.1004120145
97	0.1000709527
98	0.09978176226
99	0.09943798432
100	0.09917336041
101	0.09896312605
102	0.09872356356
103	0.09851503368
104	0.09822119162
105	0.09798289375
106	0.09775525166
107	0.09753051268
108	0.09728503399
109	0.09713131152
110	0.09688428229
111	0.09669921931
112	0.09654313255
113	0.09636625109
114	0.09624720113
115	0.09607963385
116	0.09596439973
117	0.09586211969
118	0.095679388
119	0.09552136583
120	0.09532328279
121	0.09527603009
122	0.09515594644
123	0.09496352668
124	0.09486975806
125	0.0946657808
126	0.09455044771
127	0.09440961334
128	0.09429752427
129	0.09412895629
130	0.09397715824
131	0.09381235113
132	0.09365477982
133	0.09358820597
134	0.09352528302
135	0.09339513741
136	0.0932613849
137	0.09319836297
138	0.09308910005
139	0.09299425376
140	0.0929164743
141	0.0928335484
142	0.09272562707
143	0.09257437885
144	0.09247318748
145	0.09236025166
146	0.09227930516
147	0.09220510512
148	0.09214227014
149	0.09205700195
150	0.09195519477
151	0.09191855936
152	0.0918166477
153	0.09173761462
154	0.09164072845
155	0.09152350393
156	0.09142630985
157	0.09137536227
158	0.09131934523
159	0.09124156027
160	0.0911760531
161	0.09103008878
162	0.09091550347
163	0.09081565919
164	0.09072104383
165	0.09065419506
166	0.09060103165
167	0.0905460538
168	0.09048616592
169	0.09038507352
170	0.09033043106
171	0.09024976498
172	0.09017789623
173	0.0901304456
174	0.09003509896
175	0.08995094693
176	0.08988900818
177	0.08984099671
178	0.08974639234
179	0.08962304268
180	0.0895512839
181	0.089463393
182	0.08934142342
183	0.08927968261
184	0.08921977275
185	0.08916868221
186	0.08907927377
187	0.08896155441
188	0.08890270022
189	0.08883084247
190	0.08875883077
191	0.08869150365
192	0.08863633884
193	0.08858390122
194	0.08846378457
195	0.0883837508
196	0.08829924688
197	0.08826477781
198	0.08817411025
199	0.08810713503
200	0.08802095961
201	0.08793503712
202	0.0878782833
203	0.08781104415
204	0.08772970177
205	0.08765805846
206	0.08762796057
207	0.08756472971
208	0.08751846121
209	0.08749303141
210	0.08744685089
211	0.08738787574
212	0.08728937305
213	0.08725303455
214	0.08720689802
215	0.08714216611
216	0.08710030728
217	0.08704766072
218	0.08697492323
219	0.08690326892
220	0.08683322562
221	0.08675535819
222	0.08670130955
223	0.08664314816
224	0.08657610695
225	0.08653185635
226	0.08645609478
227	0.08639303437
228	0.08632439314
229	0.086253833
230	0.0862111989
231	0.08616308847
232	0.08610689548
233	0.08604350516
234	0.08600083258
235	0.08597124054
236	0.08592811709
237	0.08587214953
238	0.08582019576
239	0.08575557382
240	0.0856984901
241	0.08565597147
242	0.08559901421
243	0.08557378234
244	0.08551706151
245	0.08547685218
246	0.08540689686
247	0.08534709696
248	0.08526744807
249	0.08522643048
250	0.08518823354
251	0.08514203103
252	0.08508671777
253	0.08503121207
254	0.08497967617
255	0.08492913547
256	0.08489681075
257	0.08486947853
258	0.08483957308
259	0.08478425432
260	0.08472666476
261	0.08469998133
262	0.08465371284
263	0.08459784425
264	0.08455998821
265	0.08451545169
266	0.08447558875
267	0.08440698602
268	0.08436000274
269	0.08431886419
270	0.08426424922
271	0.08422639868
272	0.08418269791
273	0.08413817788
274	0.08410418717
275	0.08406965213
276	0.08402499464
277	0.08397465188
278	0.08391500593
279	0.08387396086
280	0.08383344362
281	0.08377516676
282	0.08372965704
283	0.08368506004
284	0.08364508714
285	0.08361606142
286	0.08356522931
287	0.0835021469
288	0.08344919243
289	0.08340981885
290	0.08334527938
291	0.08330482263
292	0.08325483176
293	0.08320172334
